1,2,3,4,5
flack,hdqrs,jumbo,vingt,expwy
flock,hdqrs,jumba,vingt,expwy
hdqrs,mujik,fconv,exptl,gawby
qophs,jumba,wreck,fldxt,vying
jambe,qophs,wrung,fldxt,vicky
flock,hdqrs,twang,vibex,jumpy
hdqrs,gconv,wakif,exptl,jumby
qophs,evang,wrick,fldxt,jumby
qophs,ganev,wrick,fldxt,jumby
qophs,vegan,wrick,fldxt,jumby
qophs,navig,wreck,fldxt,jumby
qophs,given,wrack,fldxt,jumby
qophs,njave,wrick,fldxt,gumby
jambs,quick,woven,fldxt,gryph
quick,njave,wombs,fldxt,gryph
saqib,gconv,whump,fldxt,jerky
squib,gconv,whamp,fldxt,jerky
bejig,quack,vrows,fldxt,nymph
herbs,gconv,quawk,fldxt,jimpy
qursh,gconv,bawke,fldxt,jimpy
flamb,hdqrs,twick,pungy,vejoz
flick,hdqrs,twang,bumpy,vejoz
flang,hdqrs,twick,bumpy,vejoz
lampf,hdqrs,twick,bungy,vejoz
flimp,hdqrs,twang,bucky,vejoz
hdqrs,plumb,twick,fangy,vejoz
hdqrs,flump,twick,bangy,vejoz
hdqrs,gconv,bawke,jimpy,fultz
brick,quags,fldxt,nymph,vejoz
brags,quick,fldxt,nymph,vejoz
garbs,quick,fldxt,nymph,vejoz
grabs,quick,fldxt,nymph,vejoz
brigs,quack,fldxt,nymph,vejoz
bejig,hdqrs,fconv,ampyx,klutz
hdqrs,gconv,exptl,jumby,kafiz
qophs,jumba,wreck,fldxt,zingy
flick,hdqrs,bowge,japyx,muntz
flock,hdqrs,bewig,japyx,muntz
gramp,chowk,fldxt,benjy,squiz
hdqrs,imcnt,flowk,japyx,uzbeg
bench,quawk,fldxt,jimpy,grosz
chimp,quawk,fldxt,benjy,grosz
quick,whamp,fldxt,benjy,grosz
qophs,wreck,fldxt,jumby,zigan
klong,jambs,chivw,expdt,furzy
jambs,gconv,whilk,expdt,furzy
jacks,bumph,wiver,fldxt,zygon
jacks,bumph,wrive,fldxt,zygon
baker,jumps,chivw,fldxt,zygon
brake,jumps,chivw,fldxt,zygon
break,jumps,chivw,fldxt,zygon
kebar,jumps,chivw,fldxt,zygon
jambs,puker,chivw,fldxt,zygon
kemps,bruja,chivw,fldxt,zygon
skemp,bruja,chivw,fldxt,zygon
perks,jumba,chivw,fldxt,zygon
brack,jives,whump,fldxt,zygon
becks,rajiv,whump,fldxt,zygon
jacks,brevi,whump,fldxt,zygon
bumph,javer,swick,fldxt,zygon
bumph,javer,wicks,fldxt,zygon
bumps,jahve,wrick,fldxt,zygon
jumps,behav,wrick,fldxt,zygon
bumph,jives,wrack,fldxt,zygon
jambe,supvr,whick,fldxt,zygon
bumps,javer,whick,fldxt,zygon
jumps,brave,whick,fldxt,zygon
jumps,breva,whick,fldxt,zygon
jumps,brevi,chawk,fldxt,zygon
jumps,brevi,whack,fldxt,zygon
jakob,sprug,chivw,fldxt,enzym
bejig,chump,vrows,fldxt,knyaz
gerbo,jumps,chivw,fldxt,knyaz
grebo,jumps,chivw,fldxt,knyaz
jorge,bumps,chivw,fldxt,knyaz
bejig,supvr,mowch,fldxt,knyaz
jacks,bumph,vower,fldxt,zingy
jocks,bumph,warve,fldxt,zingy
jocks,bumph,waver,fldxt,zingy
jacko,verbs,whump,fldxt,zingy
jacks,bevor,whump,fldxt,zingy
bocks,javer,whump,fldxt,zingy
jocks,brave,whump,fldxt,zingy
jocks,breva,whump,fldxt,zingy
jerks,vocab,whump,fldxt,zingy
jumbo,pshav,wreck,fldxt,zingy
bucks,javer,whomp,fldxt,zingy
jambe,supvr,chowk,fldxt,zingy
bumps,javer,chowk,fldxt,zingy
jumps,brave,chowk,fldxt,zingy
jumps,breva,chowk,fldxt,zingy
jumps,bevor,chawk,fldxt,zingy
jumps,bevor,whack,fldxt,zingy
bumph,javer,gowks,fldxt,zincy
kopje,vughs,brawn,fldxt,zymic
kerbs,gconv,whump,fldxt,jizya
krebs,gconv,whump,fldxt,jizya
bonks,grump,chivw,fldxt,jazey
knobs,grump,chivw,fldxt,jazey
birks,gconv,whump,fldxt,jazey
brisk,gconv,whump,fldxt,jazey
fjord,gucks,vibex,nymph,waltz
bumph,gconv,fldxt,jerky,swazi
jacks,bumph,fldxt,grovy,winze
jacks,bumph,fldxt,grovy,wizen
jocks,bumph,fldxt,gravy,winze
jocks,bumph,fldxt,gravy,wizen
flegm,bocks,thruv,japyx,windz
block,fremt,vughs,japyx,windz
borgh,jumps,fldxt,vicky,wanze
brogh,jumps,fldxt,vicky,wanze
ghbor,jumps,fldxt,vicky,wanze
brock,vughs,fldxt,jimpy,wanze
bench,jumps,fldxt,gawky,vizor
kench,jumps,fldxt,gawby,vizor
bench,gawks,fldxt,jumpy,vizor
becks,whang,fldxt,jumpy,vizor
pecks,whang,fldxt,jumby,vizor
speck,whang,fldxt,jumby,vizor
chump,gawks,fldxt,benjy,vizor
gucks,whamp,fldxt,benjy,vizor
jumps,whang,fldxt,becky,vizor
becks,whing,fldxt,jumpy,voraz
pecks,whing,fldxt,jumby,voraz
speck,whing,fldxt,jumby,voraz
jumps,whing,fldxt,becky,voraz
glink,fdubs,crwth,ampyx,vejoz
kling,fdubs,crwth,ampyx,vejoz
gambs,pfund,crwth,kylix,vejoz
bhang,crump,fldxt,skiwy,vejoz
crang,bumph,fldxt,skiwy,vejoz
gramp,bunch,fldxt,skiwy,vejoz
brink,chump,fldxt,gawsy,vejoz
crink,bumph,fldxt,gawsy,vejoz
chimb,pungs,fldxt,rawky,vejoz
chimb,spung,fldxt,rawky,vejoz
ching,bumps,fldxt,rawky,vejoz
chimp,bungs,fldxt,rawky,vejoz
gimps,bunch,fldxt,rawky,vejoz
chimb,rungs,fldxt,pawky,vejoz
chirm,bungs,fldxt,pawky,vejoz
bring,chums,fldxt,pawky,vejoz
nighs,crumb,fldxt,pawky,vejoz
singh,crumb,fldxt,pawky,vejoz
brigs,munch,fldxt,pawky,vejoz
brims,chung,fldxt,pawky,vejoz
chimb,sprug,fldxt,wanky,vejoz
chimp,burgs,fldxt,wanky,vejoz
chimp,grubs,fldxt,wanky,vejoz
grimp,chubs,fldxt,wanky,vejoz
grimp,subch,fldxt,wanky,vejoz
brigs,chump,fldxt,wanky,vejoz
gramp,bucks,fldxt,whiny,vejoz
backs,grump,fldxt,whiny,vejoz
champ,brusk,fldxt,wingy,vejoz
brack,humps,fldxt,wingy,vejoz
brack,sumph,fldxt,wingy,vejoz
chark,bumps,fldxt,wingy,vejoz
karch,bumps,fldxt,wingy,vejoz
